"station","name","latitude","longitude"
"3003099999","SUMBURGH, UK",59.878889,-1.295556
"54102099999","XILIN HOT, CH",43.95,116.1166666
"78846099999","ANGUILLA, AV",18.2,-63.05
"4034099999","STAFHOLTSEY, IC",64.6166666,-21.6
"72356013968","TULSA INTERNATIONAL AIRPORT, OK US",36.1994,-95.8872
"41216099999","BATEEN, AE",24.428333,54.458084
"40176299999","SDE DOV, IS",32.117,34.783
"72267703027","CLINES CORNERS, NM US",35.003027,-105.662781
"91190022516","KAHULUI AIRPORT, HI US",20.88871,-156.43453
"27894099999","NOVODEVIC E, RS",53.6,48.8333333
"2794099999","KIRKKONUMMI MAKILUOTO, FI",59.9166666,24.35
"94216099999","KUNUNURRA, AS",-15.778056,128.7075
"60603099999","RHOURD NOUSS, AG",29.7166666,6.7
"40809099999","BIRJAND, IR",32.898056,59.266111
"37835599999","GABALA, AJ",40.8166666,47.7333333
"72224603844","DUKE FIELD AAFB, FL US",30.65,-86.53333
"85703099999","MARIA DOLORES, CI",-37.401731,-72.425444
"60723099999","BEJA, TS",36.7333333,9.1833333
"68485099999","MOOI RIVER, SF",-29.2166666,30
"67305199999","MASSANGENA, MZ",-21.55,32.9666666
"1477099999","KONNERUD, NO",59.7166666,10.15
"17026099999","SINOP, TU",42.0333333,35.1666666
"16582099999","PADOVA, IT",45.7,11.85
"95101099999","TRUSCOTT, AS",-14.0833333,126.3833333
"68253099999","THABAZIMBI, SF",-24.5833333,27.4166666
"70208426650","EMMONAK, AK US",62.78528,-164.49111
"72291093116","SAN NICOLAS ISLAND, CA US",33.23983,-119.45816
"68024099999","GHANZI, BC",-21.7,21.65
"71716099999","VALCARTIER AIRPORT, CA",46.9,-71.5
"94595999999","WANGARATTA, AS",-36.415833,146.306944
"78795599999","PANAMA PACIFICO, PM",8.9166666,-79.6
"4202199999","AASIAAT MITTARFIA, GL",68.717,-52.8
"74467204862","LINCOLN LOGAN CO AIRPORT, IL US",40.15833,-89.33472
"99999900421","MADISONVILLE MUNICIPAL AIRPORT, KY US",37.35,-87.4
"72466093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873
"6679099999","AADORF TAENIKON, SZ",47.4833333,8.9
"99442099999","DAUPHIN ISLAND AL, US",30.25,-88.07
"72650254832","CLINTONVILLE MUNICIPAL AIRPORT, WI US",44.61389,-88.73139
"72434503966","ST LOUIS SPIRIT OF ST LOUIS AIRPORT, MO US",38.65722,-90.65583
"72311553854","ORANGEBURG MUNICIPAL AIRPORT, SC US",33.463771,-80.853458
"7300099999","SAINT SAUVEUR, FR",46.7,-2.3333333
"72244753903","HUNTSVILLE MUNICIPAL AIRPORT, TX US",30.74432,-95.58657
"60250099999","INEZGANE, MO",30.381353,-9.546311
"47474099999","MONBETSU, JA",44.303914,143.404028
"99999996407","SELAWIK 28 E, AK US",66.562,-159.0036
"84101099999","SAN VICENTE AEROPUERTO, EC",-0.5833333,-80.4166666
"81729099999","PREGUICAS, BR",-3.3,-60.6333333
"72356453908","TULSA RICHARD L JONES JR AIRPORT, OK US",36.04243,-95.99016
"95617099999","SHANNON, AS",-34.5833333,116.35
"84688099999","ANDAHUAYLAS, PE",-13.706408,-73.350378
"51747099999","TAZHONG, CH",39,83.6666666
"13624099999","QYTETI STALIN, AL",40.8,19.9
"99728499999","NEW HAVEN, CT US",41.28,-72.88
"76634099999","TULANCINGO HGO., MX",20.0833333,-98.3666666
"16270099999","BARI, IT",41.1333333,16.7666666
"95458099999","COOBER PEDY AIRPORT, AS",-29.0333333,134.7166666
"11157099999","AIGEN ENNSTAL MIL, AU",47.5333333,14.1333333
"13610099999","KUKES INTERNATIONIONAL AIRPORT, AL",42.03413,20.41531
"47918099999","ISHIGAKI, JA",24.344525,124.186983
"72531603887","DECATUR AIRPORT, IL US",39.83444,-88.86556
"94915099999","PERISHER VALLEY AWS, AS",-36.4,148.4
"40848099999","SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",29.539333,52.589474
"78551011624","HENRY E. ROHLSEN AIRPORT, VI US",17.6997,-64.8125
"72053900165","STEVENS FIELD AIRPORT, CO US",37.283,-107.05
"6449099999","BRUSSELS SOUTH, BE",50.459197,4.453817
"72287493134","LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911
"36177099999","SEMIPALATINSK, KZ",50.4166666,80.3
"40780499999","ILAM, IR",33.583,46.4
"48356099999","SAKON NAKHON, TH",17.15,104.1333333
"1198099999","DIVIDALEN II, NO",68.7833333,19.7
"33889099999","IZMAIL, UP",45.3666666,28.85
"71611099999","LENOXVILLE QUE, CA",45.3666666,-71.8166666
"99401399999","CHEERY POINT, WA US",48.863,-122.758
"72646314897","WAUSAU ASOS, WI US",44.9288,-89.6277
"22798099999","JARENSK, RS",62.1666666,49.1166666
"72703314609","HOULTON AIRPORT, ME US",46.1185,-67.7928
"16101099999","VENEZIA LIDO, IT",45.4333333,12.3833333
"11918099999","LIESEK, LO",49.3666666,19.6833333
"3111099999","MACHRIHANISH, UK",55.4333333,-5.7
"70197526422","EAGLE AIRPORT, AK US",64.77667,-141.14833
"31510099999","BLAGOVESCENSK, RS",50.2833333,127.4833333
"42131099999","HISSAR, IN",29.179444,75.755336
"72438093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",39.72517,-86.28168
"72306793726","KINSTON STALLINGS FIELD, NC US",35.31667,-77.63333
"99799699999","ST CLAIR SHORES, MI US",42.4666666,-82.8666666
"11345099999","ST VEIT IM PONGAU, AU",47.3333333,13.15
"87909099999","SAN JULIAN, AR",-49.306775,-67.802589
"81821099999","ARAGUATINS, BR",-5.65,-48.1166666
"7627099999","ANTICHAN, FR",43.007764,1.10315
"30074099999","MACHA, RS",59.9333333,117.6
"86612099999","QUEIMADAS, BR",-10.9833333,-39.6166666
"47606099999","FUSHIKI, JA",36.8,137.05
"15154099999","VASLUI, RO",46.65,27.7166666
"99736899999","SABINE PASS NORTH, TX US",29.73,-93.87
"16719399999","DIONYSIOS SOLOMOS, GR",37.750853,20.88425
"94595199999","AMBERLEY, AS",-27.640556,152.711944
"64709099999","PALA, CD",9.3666667,14.9166667
"48602299999","SULTAN ABDUL HALIM, MY",6.194142,100.402608
"72307013786","ELIZABETH CITY COAST GUARD AIR STATION, NC US",36.26056,-76.175
"94914099999","COMBIENBAR, AS",-37.3333333,149.0166666
"47805099999","HIRADO, JA",33.3666666,129.55
"28786099999","POLTAVKA, RS",54.3666666,71.75
"71512099999","LONGUE POINTE DE MINGAN QUE, CA",50.2713888,-64.2263888
"26268099999","DNO, RS",57.8166666,29.95
"33231099999","CHORNOBYL, UP",51.2833333,30.2333333
"16107099999","CONCORDIA SAGITTARIA, IT",45.75,12.85
"33896099999","SARATA, UP",46.0166666,29.6666666
"86718099999","BURITIS, BR",-15.5166666,-46.4333333
"3264399999","TOPCLIFFE, UK",54.205522,-1.382094
"64247099999","MBUJI MAYI, CG",-6.1666666,23.6166666
"11220099999","NEUMARKT, AU",47.0666666,14.4166666
"72450803997","LAWRENCE ASOS, KS US",39.00779,-95.2115
"36501099999","KARAUL, KZ",49,79.3333333
"57378099999","ZHONGXIANG, CH",31.1666666,112.6333333
"40851099999","SIRJAN, IR",29.4666666,55.7166666
"2868099999","KUUSAMO RUKATUNTURI, FI",66.1666666,29.15
"2101099999","HEMAVAN, SW",65.806111,15.082778
"72618354772","FRYEBURG EASTERN SLOPES REGL AIRPORT, ME US",43.99056,-70.9475
"53845099999","YAN AN, CH",36.6,109.5
"47895099999","TOKUSHIMA, JA",34.0666666,134.5666666
"27518599999","VNUKOVO, RS",55.591531,37.261486
"37871099999","ARTASHAT, AM",39.95,44.55
"86916099999","MARECHAL CANDIDO RONDON, BR",-24.5333333,-54.0166666
"36096099999","KYZYL, RS",51.7166666,94.5
"72308693741","NEWPORT NEWS INTERNATIONAL AIRPORT, VA US",37.13194,-76.49306
