"station","latitude","longitude"
"15338099999",45.0333333,21.6833333
"71407099999",68.5333333,-89.8
"41268099999",22.5333333,59.4833333
"68839099999",-33.7,25.4333333
"94137099999",-12.6666666,132.9
"62366599999",24.9833333,32.8666666
"68478099999",-29.0,29.8833333
"16734099999",36.8333333,21.7
"22100099999",68.5333333,28.9166666
"29570099999",56.0666666,92.7333333
"40199099999",29.561281,34.960081
"42891099999",21.6166666,85.5166666
"58338099999",31.15,118.5833333
"72429453844",39.75556,-82.65722
"71056399999",55.733,-120.183
"72089799999",33.782417,-83.692861
"67666099999",-15.413825,28.330683
"74782053860",30.3361,-81.5147
"72502300474",33.86113,-90.75788
"24962099999",60.9,131.9833333
"99729499999",41.637,-71.339
"3980099999",55.3666666,-7.3333333
"27491099999",57,48.7333333
"63661099999",0.971989,34.958556
"74732023002",32.85,-106.1
"41258099999",23.6333333,58.5666666
"47137099999",36.4166666,128.15
"71099099999",56.0166666,-87.6833333
"74612093104",35.6875,-117.6931
"72497393203",39.8,-121.85
"71206099999",52.387501,-126.595833
"38413099999",41.7333333,64.6166667
"17118099999",40.255208,29.562569
"1327099999",60.3833333,5.9666666
"72381523161",34.85371,-116.78702
"99773899999",46.57,-90.43
"34152099999",51.55,43.15
"72101299999",47.908973,-100.926748
"37061099999",44.7833333,44.1333333
"72491523259",36.59041,-121.84881
"81831099999",-5.1666666,-39.2833333
"72035363875",36.61056,-83.7375
"94390099999",-24.7166666,153.2
"96109099999",0.461169,101.444642
"72253312962",29.3601,-99.1742
"85365099999",-21.960925,-63.651669
"60715099999",36.851033,10.227217
"8502099999",39.67,-31.12
"47161043240",35.083,128.083
"27066099999",59.5333333,45.4666666
"72026912982",27.20667,-98.12111
"3318099999",53.771667,-3.028611
"71891099999",50.23,-121.58
"71370099999",46.55,-72.7333333
"99816799999",59.6,-151.4166666
"81954099999",-8.5166666,-37.7166666
"4097099999",65.2666666,-13.5833333
"94674099999",-34.605278,135.880278
"6455099999",50.1,4.6
"24641099999",63.7666666,121.6166666
"72252312970",29.3389,-98.472
"83780099999",-23.626692,-46.655375
"72251512926",27.68786,-97.29158
"86673099999",-13.15,-41.7666666
"99725799999",45.99,-83.9
"47744099999",35.4333333,133.3333333
"99999954918",NULL,NULL
"81743099999",-3.8166666,-49.6833333
"28908099999",52.6166666,51.2833333
"86662099999",-13.7833333,-57.8333333
"72050799999",33.312883,-86.925919
"81950099999",-8.1333333,-41.15
"72204253978",32.74222,-95.49639
"71840099999",49.4,-98.3166666
"41217099999",24.432972,54.651138
"33325099999",50.2333333,28.7333333
"68579099999",-30.75,30.2666666
"71844299999",62.179167,-75.666944
"42372099999",26.25,81.3833333
"80372099999",0.505228,-76.500836
"15194099999",46.2666666,26.65
"71197099999",47.5666666,-59.15
"99404699999",41.28,-70.1
"34772099999",47.1333333,46.3166666
"72687600387",44.4,-118.967
"26997099999",52.5833333,33.7666666
"72546014933",41.53395,-93.65313
"14654099999",43.8666666,18.4333333
"72217263810",39.7,-87.66944
"72645014898",44.47958,-88.1371
"36428099999",49.2,84.5166666
"68845099999",-33.8333333,26.2833333
"27577099999",55.5333333,45.5
"15042099999",47.35,22.1
"12892099999",47.983892,21.692317
"99734599999",27.97,-82.83
"72219653863",33.875,-84.30222
"94762099999",-33.9833333,150.9166666
"48810099999",22.15,105.8333333
"47762099999",33.95,130.9333333
"15408099999",44.7333333,28.35
"2120599999",64.95,17.7
"15184099999",46.3166666,23.1333333
"1082099999",69.15,29.25
"88891099999",-51.685672,-57.777644
"43418099999",8.538514,81.181853
"71619099999",48.0119444,-65.3316666
"65252099999",5.4833333,7
"81924099999",-8.1419444,-70.3430556
"29876099999",53.6833333,94.2
"99816599999",28.1333333,-97.0333333
"71772099999",49.2166666,-123.8
"62360199999",30.917669,29.696408
"1414099999",59.4333333,5.0666666
"2824099999",67.9833333,24.25
"41859099999",25.7333333,89.2333333
"6790099999",46.9833333,9.6666666
"4341099999",70.75,-22.65
"7106099999",48.530258,-4.151642
"71688099999",50.15,-123.1166666
"15375099999",44.9333333,25.4333333
"59358099999",23,120.2166666
"72570594030",40.44293,-109.51278
"95659099999",-34.75,137.5166666
"41630099999",31.4333333,73.1
"42148099999",29.0333333,79.4666666
"62124099999",26.986964,14.472525
"57399099999",31.1333333,114.95
"71066099999",58.621389,-117.164722
"42809099999",22.654739,88.446722
"99727899999",41.8,-71.4
"60617099999",27.3166666,3.7166666
"30622099999",53.9666666,105.9
"74768013939",33.4825,-90.98528
"81987099999",-9.0833333,-44.3333333
"35656099999",47.633,64.583
"11059099999",48.1666666,14.0666666
"23242099999",67.6833333,72.8833333
"72423093821",38.17738,-85.73077
"94109099999",-11.55,132.9266667
"3784099999",51.4666666,0.3
"87405099999",-32.6,-69.3333333
"72543454789",41.13889,-75.37944
"48694099999",1.360417,103.90953
"72520804855",40.61611,-83.06361
"72046800466",30.55838,-92.09938
"72622394725",44.93583,-74.84583
"43158099999",16.85,74.6
"72308493775",37.70806,-77.43444
"15145099999",46.467714,24.412525
"22621099999",63.7666666,34.2833333
"60603099999",29.7166666,6.7
"51076099999",47.7333333,88.0833333
"27283099999",58.3,48.35
"72654804971",48.94139,-95.34833
"3766399999",51.330833,0.0325
"68843099999",-33.5666666,26.8833333
"99823699999",27.6333333,-97.2333333
"71164099999",67.1666666,-130.2166666
"86774099999",-18.4166666,-49.2
"72698024229",45.59578,-122.60919
"99826399999",18.3,-65.3
"76843099999",16.75,-93.1333333
"43198099999",15.859286,74.618292
"1108099999",65.7,11.85
"86745099999",-16.3833333,-39.1833333
"65215099999",7.7833333,4.4833333
"56768099999",25.0166666,101.5166666
"72091400304",28.633,-91.483
"2297099999",64.4833333,21.5833333
"72468094015",38.67833,-104.75667
"80421099999",10.9166666,-63.9666666
"71248099999",51.7666666,-114.6833333
"44257099999",48.6166667,110.6
"72072700260",27.962,-93.671
"20891099999",71.9833333,102.4666666
"86672099999",-13.2666666,-43.4166666
"86838099999",-21.3166666,-50.9333333
"8522099999",32.6333333,-16.9
"85151099999",-14.7333333,-68.4166667
"6626099999",47.3666666,7.9833333
"94405099999",-28.3,113.6
"71900099999",55.45,-60.2166666
"68267299999",-26.15,28
"72070599999",38.981361,-82.57785
"70119099999",65.253664,-166.858519
"95909099999",-36.5,148.2833333
"38846099999",38.3666666,69.9833333
"62762099999",13.55,33.6166667
"78384199999",19.686981,-79.882789
"26080099999",59.45,32.0333333
"91582099999",-20.7748,167.239864
"33907099999",46.25,32.3
"34238099999",51.4833333,40.4166666
"72695994281",45.24656,-122.77095
"78719099999",14.3333333,-88.1666667
"76491599999",23.704139,-98.956611
"72789094197",48.46113,-119.52091
"31878099999",45.1,133.5
"22282099999",67.8,46.6666666
"74466263817",39.53417,-89.32778
"99999994079",42.068,-101.445
"40272099999",31.722556,35.993214
"15525799999",43.4166666,28.1833333
"3707099999",51.087167,-4.150339
"99774299999",30.4333333,-88.0
"72317153144",34.98833,-117.86472
"41525099999",34.75,72.9
"27108099999",58.5666666,35.6333333
"91592599999",-20.790028,165.259486
"78862599999",16.7833333,-62.1933
"85405099999",-18.467,-70.317
"71945099999",58.8333333,-122.6
"86734099999",-16.65,-49.2166666
"74794612886",28.61667,-80.68333
"72290023188",32.7336,-117.1831
"28825099999",53.5833333,55.9336111
"72522014750",43.33849,-73.61024
"95286099999",-17.0666666,145.4333333
"71313099999",50.2833333,-63.6
"99999973801",33.2125,-87.5914
"72502964707",41.48333,-73.13333
"68921099999",-34.8,20.0666666
"94840099999",-38.0666666,142.7666666
"65201099999",6.577369,3.321156
"11340099999",47.3333333,12.7333333
"99999903739",37.2907,-75.927
"42973099999",20.7833333,86.7333333
"33664099999",48.35,27.0833333
"38842099999",38.683,69.567
"86902099999",-23.7666666,-50.1833333
"60403099999",36.4666666,7.4666666
"16099099999",45.6484,12.194422
"72475593129",37.7086,-113.0944
"71274099999",54.2666666,-112.4833333
"33833099999",47.0166666,30.75
"72074500272",27.35,-94.633
"74768853858",30.46304,-88.53156
"41535099999",34.1833333,73.25
"72462023061",37.4389,-105.8613
"71820099999",44.2166666,-76.6
"2943099999",61.5166666,23.75
"47170099999",34.4,126.7
"72607014606",44.7978,-68.8185
"99726299999",46.55,-87.38
"4220099999",68.7,-52.85
"16259199999",44.824483,10.296367
"71940099999",55.179722,-118.885
"85469099999",-27.164792,-109.421831
"72253312962",29.36013,-99.17423
"99402599999",48.112,-122.758
"74486094789",40.63915,-73.76401
"94759099999",-33.6833333,151.2333333
"99728899999",41.58,-71.4
"72712014607",46.8705,-68.0173
"91551599999",-15.3,167.9666666
"98134099999",20.4333333,121.9666666
"11395099999",47.7666666,17.0333333
"78925000404",14.6,-61.0
"6689099999",47.3666666,8.95
"31939099999",44.15,133.8666666
"8176399999",41.5166667,2.1
"99470099999",59.38,-153.35
"72639200424",39.43333,-107.38333
"16271099999",41.1166666,16.8833333
"94295099999",-18.5166666,146.3833333
"12870099999",47.9,20.3833333
"4056099999",64.8666666,-19.5666666
"78073099999",25.038958,-77.466231
"13279099999",44.3666666,20.95
"47612099999",37.1,138.25
"44352099999",45.7333333,112.3666666
"99730699999",33.65,-78.92
"38345099999",42.5166666,72.2166666
"3140799999",57.2833333,1.65
"72643794940",43.96667,-90.73333
"17375099999",36.3,30.15
"71949099999",62.2333333,-133.35
"48429099999",13.6833333,100.7666666
"40676099999",31.0166666,46.2333333
"72253512909",29.38333,-98.58333
"87576099999",-34.822222,-58.535833
"88881099999",-51.6666666,-58.1
"70268527518",70.46722,-157.43583
"24329099999",66.25,114.2833333
"58239099999",29.824944,121.465069
"68350099999",-26.7333333,27.0666666
"42871099999",21.524467,80.287997
"72047799999",37.648328,-92.652431
"67197099999",-25.038056,46.956111
"24076099999",69.3333333,139.6666666
"37772099999",40.3833333,43.9
"71699099999",45.0666666,-66.45
"22648099999",63.1166666,39.2333333
"7317099999",44.4333333,-1.25
"22271099999",67.8833333,44.15
"3967099999",53.301667,-6.451333
"99999900484",44.66286,-104.56783
"70277026438",60.12927,-149.41849
"70251026528",62.32,-150.095
"54852599999",32.02,120.85
"82591099999",-5.201919,-37.364347
"72654614946",44.90452,-97.14957
"8561099999",38.0666666,-7.9166666
"76751099999",19,-86.3166667
"6269399999",51.45,3.6
"71719099999",48.0166666,-64.5
"86854099999",-21.5833333,-41.95
"72094800328",32.11,-84.189
"84564099999",-9.878811,-76.204797
"72750494999",46.5475,-93.67667
"97748099999",-3.8,130.8333333
"72090300441",38.70042,-87.12973
"68512099999",-29.689333,17.939611
"72641014837",43.14069,-89.34521
"6779099999",46.4333333,9.7666666
"72473700377",28.817,-82.317
"84117099999",-0.95,-80.6833333
"72523504720",42.15,-79.25
"1440099999",59.3333333,6.8666666
"2181099999",66.2666666,22.85
"70360625629",59.06667,-160.36667
"15085099999",47.15,24.5166666
"72274953128",33.26889,-111.81278
"15189099999",46.2333333,24.6
"42705199999",31.876706,77.154367
"47020099999",40.9666666,126.6
"70389425367",55.58,-133.075
"76286399999",27.443918,-99.57046
"72098299999",41.1166666,-103.983333
"94153099999",-13.975,136.46
"71041599999",44.37,-64.3
"8938099999",42.4166666,1.2166666
"83928099999",-29.782178,-57.038189
"70261526498",64.8375,-147.61444
"43342099999",10.95,78.0833333
"67979099999",-20.3333333,31.4666666
